X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
90.8755,137.160000026168,Layer 1,,,,,
91.1577,137.019,Layer 1,,,,,
91.2988,136.878000026168,Layer 1,,,,,
91.4399,136.737,Layer 1,,,,,
91.581,136.596000026168,Layer 1,,,,,
91.7221,136.455,Layer 1,,,,,
91.86325,136.314000026168,Layer 1,,,,,
92.0044,136.1725,Layer 1,,,,,
92.1455,136.031000026168,Layer 1,,,,,
92.2866,135.89,Layer 1,,,,,
92.4277,135.749000026168,Layer 1,,,,,
92.5688,135.608,Layer 1,,,,,
93.13325,135.467000026168,Layer 1,,,,,
93.6977,135.608,Layer 1,,,,,
93.9799,135.749000026168,Layer 1,,,,,
94.2621,135.89,Layer 1,,,,,
94.40325,136.031000026168,Layer 1,,,,,
94.5444,136.1725,Layer 1,,,,,
94.5444,136.1725,Layer 1,,,,,
94.6855,136.031000026168,Layer 1,,,,,
94.8266,135.89,Layer 1,,,,,
94.9677,135.749000026168,Layer 1,,,,,
95.1088,135.608,Layer 1,,,,,
95.2499,135.467000026168,Layer 1,,,,,
95.391,135.326,Layer 1,,,,,
95.53215,135.185000026168,Layer 1,,,,,
95.6733,135.0435,Layer 1,,,,,
95.8144,134.902000026168,Layer 1,,,,,
95.9555,134.761,Layer 1,,,,,
96.2377,134.620000026168,Layer 1,,,,,
96.5199,134.479,Layer 1,,,,,
96.661,134.338000026168,Layer 1,,,,,
96.8021,134.197,Layer 1,,,,,
96.94325,134.056000026168,Layer 1,,,,,
97.0844,133.915,Layer 1,,,,,
97.2255,133.774000026168,Layer 1,,,,,
97.3666,133.6325,Layer 1,,,,,
97.5077,133.491000026168,Layer 1,,,,,
97.6488,133.35,Layer 1,,,,,
97.7899,133.209000026168,Layer 1,,,,,
97.931,133.068,Layer 1,,,,,
98.21325,132.927000026168,Layer 1,,,,,
98.4955,132.786,Layer 1,,,,,
98.6366,132.645000026168,Layer 1,,,,,
98.7777,132.5035,Layer 1,,,,,
98.9188,132.362000026168,Layer 1,,,,,
99.0599,132.221,Layer 1,,,,,
99.201,132.080000026168,Layer 1,,,,,
99.3421,131.939,Layer 1,,,,,
99.48325,131.798000026168,Layer 1,,,,,
99.6244,131.657,Layer 1,,,,,
99.7655,131.516000026168,Layer 1,,,,,
99.9066,131.375,Layer 1,,,,,
100.0478,131.234000026168,Layer 1,,,,,
100.0478,131.234000026168,Layer 1,,,,,
99.9066,131.0925,Layer 1,,,,,
99.7655,130.951000026168,Layer 1,,,,,
99.6244,130.81,Layer 1,,,,,
99.48325,130.669000026168,Layer 1,,,,,
99.3421,130.528,Layer 1,,,,,
99.201,130.387000026168,Layer 1,,,,,
99.0599,130.246,Layer 1,,,,,
98.9188,130.105000026168,Layer 1,,,,,
98.7777,129.9635,Layer 1,,,,,
98.6366,129.822000026168,Layer 1,,,,,
98.4955,129.681,Layer 1,,,,,
98.3544,129.540000026168,Layer 1,,,,,
98.2133,129.399,Layer 1,,,,,
98.07215,129.258000026168,Layer 1,,,,,
97.931,129.117,Layer 1,,,,,
97.7899,128.976000026168,Layer 1,,,,,
97.6488,128.835,Layer 1,,,,,
97.5077,128.694000026168,Layer 1,,,,,
97.3666,128.5525,Layer 1,,,,,
97.2255,128.411000026168,Layer 1,,,,,
97.0844,128.27,Layer 1,,,,,
96.94325,128.129000026168,Layer 1,,,,,
96.8021,127.988,Layer 1,,,,,
96.661,127.847000026168,Layer 1,,,,,
96.5199,127.2825,Layer 1,,,,,
96.661,126.718000026168,Layer 1,,,,,
96.8021,126.577,Layer 1,,,,,
96.94325,126.436000026168,Layer 1,,,,,
97.0844,126.295,Layer 1,,,,,
97.2255,126.154000026168,Layer 1,,,,,
97.3666,126.0125,Layer 1,,,,,
97.6488,125.871000026168,Layer 1,,,,,
97.931,125.73,Layer 1,,,,,
98.07215,125.589000026168,Layer 1,,,,,
98.2133,125.448,Layer 1,,,,,
98.3544,125.307000026168,Layer 1,,,,,
98.4955,125.166,Layer 1,,,,,
98.6366,125.025000026168,Layer 1,,,,,
98.7777,124.8835,Layer 1,,,,,
98.9188,124.742000026168,Layer 1,,,,,
99.0599,124.601,Layer 1,,,,,
99.201,124.460000026168,Layer 1,,,,,
99.3421,124.319,Layer 1,,,,,
99.48325,124.178000026168,Layer 1,,,,,
99.6244,124.037,Layer 1,,,,,
99.7655,123.896000026168,Layer 1,,,,,
99.9066,123.755,Layer 1,,,,,
100.1888,123.614000026168,Layer 1,,,,,
100.471,123.4725,Layer 1,,,,,
100.612,123.331000026168,Layer 1,,,,,
100.753,123.19,Layer 1,,,,,
100.894,123.049000026168,Layer 1,,,,,
101.035,122.908,Layer 1,,,,,
101.1765,122.767000026168,Layer 1,,,,,
101.318,122.626,Layer 1,,,,,
101.459,122.485000026168,Layer 1,,,,,
101.6,122.3435,Layer 1,,,,,
101.741,122.202000026168,Layer 1,,,,,
101.882,122.061,Layer 1,,,,,
102.023,121.920000026168,Layer 1,,,,,
102.164,121.779,Layer 1,,,,,
102.4465,121.638000026168,Layer 1,,,,,
102.729,121.497,Layer 1,,,,,
102.87,121.356000026168,Layer 1,,,,,
103.011,121.215,Layer 1,,,,,
103.152,121.074000026168,Layer 1,,,,,
103.293,120.9325,Layer 1,,,,,
103.434,120.791000026168,Layer 1,,,,,
103.575,120.65,Layer 1,,,,,
103.7165,120.509000026168,Layer 1,,,,,
103.858,120.368,Layer 1,,,,,
103.999,120.227000026168,Layer 1,,,,,
104.14,120.086,Layer 1,,,,,
103.999,119.945000026168,Layer 1,,,,,
103.858,119.8035,Layer 1,,,,,
103.7165,119.662000026168,Layer 1,,,,,
103.575,119.521,Layer 1,,,,,
103.434,119.380000026168,Layer 1,,,,,
103.293,119.239,Layer 1,,,,,
103.011,119.098000026168,Layer 1,,,,,
102.729,118.957,Layer 1,,,,,
102.588,118.816000026168,Layer 1,,,,,
102.447,118.675,Layer 1,,,,,
102.3055,118.534000026168,Layer 1,,,,,
102.164,118.3925,Layer 1,,,,,
